body,url,title
"
El Sistema de Transporte Colectivo Metro informó que esta mañana elementos de la Guardia Nacional realizaron supervisión de mochilas o maletas, además vigilaron pasillos, el exterior, puentes de acceso y en las inmediaciones de las instalaciones del STC. 
Las estaciones en las que se presentaron elementos de la Guardia Nacional son Boulevard Puerto Aéreo y Candelaria, de la línea 1; Aragón y Consulado, de la línea 5; Canal de San Juan, Agrícola Oriental y Guelatao, de la línea A; Romero Rubio, de la línea B y Santa Anita, de la línea 8.
El Metro informó que estas acciones, son parte de la estrategia de  fortalecimiento y procuración de la seguridad en la Ciudad de México, encomienda de la Guardia Nacional.
""Estas actividades se realizarán de forma itinerante en estaciones del Metro ubicadas en diversas alcaldías donde tiene presencia la Guardia Nacional"", detalló el organismo.
 

 

La Guardia Nacional recorre estaciones del Sistema de Transporte Colectivo Metro. Video de Armando Martínez pic.twitter.com/5FoAE6kAQt
 — El Universal (@El_Universal_Mx) July 30, 2019

cg
",https://www.eluniversal.com.mx/metropoli/cdmx/guardia-nacional-patrulla-en-cinco-lineas-del-metro,Guardia Nacional patrulla en cinco líneas del Metro
"
Paisajes boscosos, calles adoquinadas, casitas tradicionales con tejados de color rojo y hoteles románticos, es lo que encontrarás en el Pueblo Mágico de Valle de Bravo. Para tu próxima escapada, te recomendamos 6 actividades para hacer con 600 pesos.
1. Navega en kayak
El lago artificial, conocido también como Presa Miguel Alemán, es un símbolo de Valle de Bravo. Sería un crimen no navegarlo para disfrutar las hermosas vistas que ofrece del Pueblo Mágico. Además del típico tour en lancha, es posible remar en kayak por el lago. El recorrido dura 2 horas, incluye renta del equipo y chaleco salvavidas; puedes pedir un kayak individual o doble.
Precio: 550 pesos por persona.
Foto: Cortesía Vive Valle
También existen tours de paddle board (consiste en remar a bordo de una tabla de surf), por 550 pesos.
Foto: Cortesía Vive Valle
Si eres más aventurero, haz un recorrido de esquí acuático o en dona jalada por una lancha rápida. Es más caro: cuesta mil 480 pesos por persona.
Foto: Cortesía Río Valle
2. Noche de leyendas
Esta experiencia se lleva a cabo en la Reserva Ecológica de Monte Alto, la misma área natural donde inician los vuelos en parapente. Es una caminata nocturna que culmina en uno de los mejores puntos de observación hacia Valle de Bravo, donde se arma una fogata para contar leyendas de fantasmas.
Precio: 599 pesos por persona.
 



Artículo


5 hoteles en Valle de Bravo para disfrutar en pareja

Destinos


¿Qué te parece una escapada romántica este fin de semana al Pueblo Mágico de Valle de Bravo? 








3. Tour de cascadas
A menos de 10 minutos se encuentra Avándaro, el pueblo vecino de Valle de Bravo, donde hace más de 150 millones de años se formaron dos imponentes cascadas, Velo de Novia y Cascada del Molino. Contempla desde sus miradores las caídas de agua que superan los 40 metros de altura. Para llegar, tendrás que internarte en el bosque. Tu guía te contará algunas leyendas.
Precio: 320 pesos por persona.
Foto: Cortesía Río Valle
4. Ponte zen
Galopa por la localidad de Cerro Gordo, un paraje boscoso donde se encuentra la Gran Stupa Bön para la Paz Mundial, un centro de meditación tibetano que fue consagrado en 2010. Tiene 34 metros de altura.
Precio: 650 pesos por persona.
Foto: Cortesía Río Valle
5. Visita la Peña
Haz un tour de senderismo para conocer la cima de la Peña de Valle de Bravo, a 3 mil metros sobre el nivel del mar. Tiene vestigios de la civilización mazatzinca, la cual habitó este territorio en la época prehispánica. En el camino también encuentras cuevas formadas de roca caliza.
Precio: 330 pesos por persona.
Foto: Cortesía Wishbird
6. Tour a pie por el pueblo
Es una buena opción si no te gusta quedarte con dudas sobre la historia e importancia de los sitios que encuentras en tu camino. Este recorrido te lleva por el Santuario de Santa María Ahuacatlán (donde se halla el Cristo Negro), el árbol más antiguo del Estado de México y el Jardín Central de Valle de Bravo.
Precio: 250 pesos por persona.
 
",https://www.eluniversal.com.mx/destinos/que-hacer-en-valle-de-bravo-con-600-pesos,Qué hacer en Valle de Bravo con 600 pesos 
"
[email protected]

El Consejo de la Judicatura Federal (CJF) informó que de existir una orden de aprehensión en contra de Carlos Romero Deschamps, líder petrolero, éste tiene tres días para comparecer ante el juez de control que la hubiera emitido.

Luego de que el Juez Décimo Cuarto de Distrito en el Estado de México le concedió una suspensión definitiva al líder del Sindicato de Trabajadores Petroleros de la República Mexicana, el CJF aclaró que ninguna autoridad ha informado hasta el momento que exista una orden para aprehenderlo.

Ante ello, la ley obliga a los jueces de amparo a tener por cierto el acto reclamado para resolver sobre las suspensiones que les sean solicitadas.

“Dicha medida se concedió porque varios de los jueces que el quejoso señaló como responsables no rindieron el informe previo que el juez de Distrito solicitó, dentro del plazo perentorio que la Ley de Amparo establece. De modo que, ante la ausencia de esos informes, de acuerdo con la propia legislación, el juzgador debe presumir ciertos los actos reclamados a las autoridades omisas y pronunciarse respecto de la suspensión solicitada, que es lo que hizo el juez de amparo”, señaló el CJF.

En su resolución el juez indicó que si Romero Deschamps es acusado de algún delito que merezca prisión preventiva de oficio, la suspensión no surtirá sus efectos.

La suspensión también ordena que en caso de que algún juez penal del país emita una orden de aprehensión contra el líder petrolero deberá presentarse ante él.

“Si el quejoso no comparece ante el juez que hubiese librado la orden de aprehensión dentro del plazo de tres días, la suspensión concedida dejará de tener efectos”, concluyó.

El amparo fue tramitado desde el pasado 11 de julio y, con él, el líder sindical pretendía conocer si alguna autoridad tiene una orden de aprehensión en su contra.

Para conservar la suspensión, el juez de amparo impuso a Romero Deschamps la exhibición de una garantía de 20 mil pesos.

Este martes, la Secretaría de Hacienda y Crédito Público (SHCP) confirmó que la Unidad de Inteligencia Financiera (UIF) presentó dos querellas ante la Fiscalía General de la República (FGR) contra Romero Deschamps por lavado de dinero y enriquecimiento ilícito.

Sin embargo, hasta el momento la UIF no ha conseguido la autorización requerida por ley para congelar las cuentas de él y de algunos de sus familiares.
",https://www.eluniversal.com.mx/nacion/romero-deschamps-comparecer-si-hay-mandato-judicial-dice-cjf,"Romero Deschamps, a comparecer si hay mandato judicial, dice CJF"
"
[email protected]

Los Ángeles.— Esta entrevista no contiene spoilers. Bueno, un poco: se sabe que Dwayne Johnson “pateará traseros”, sin duda usará toda esa masa muscular que ha heñido en sus casi dos metros para lograrlo. Lo hará sonriendo y eso marcará un contraste curioso.

""La Roca"" podría hacer honor a su mote y ser simplemente una piedra enorme, pero no, se ha esculpido en muchos sentidos para ser visto con agrado: hay una especie de equilibrio entre fuerza y corazón en este coloso que sabe explotar en pantalla… y fuera de ella.

Su nueva cinta, ""Rápidos y furiosos: Hobbs & Shaw"", que llega este jueves, es un spinoff de la famosa saga que ha recaudado en total de 5.1 mil millones de dólares. El nuevo título incluye el apellido de su personaje y el de un opuesto, interpretado por Jason Statham, con quien deberá hacer alianza. Es la clásica película de acción con dos hombres en tensión: deben ceder su lugar de macho alfa para el bien de otros.

“La acción es importante porque, ya sabes, es una película de Rápidos y furiosos”, reconoce en entrevista con EL UNIVERSAL.

“La gente está acostumbrada a la acción, así que queríamos asegurarnos de que estaba tan bien como antes, sino es que mejor a la última película que hice hace ocho años, esa siempre fue la meta; pero también queríamos asegurarnos de que tuvieramos más elementos, como el apoyo a la familia”, detalla.
 Protagonistas. Dwayne comparte créditos con Vanessa Kirby, quien interpreta el papel de Hattie.
 

Así que ""Hobbs & Shaw"" incluirá inverosímiles momentos, como una persecución que incluye enganchar varios autos a un helicóptero, y otros en los que la madre de su personaje amenaza con lanzar una chancla al que no le obedezca con el fin de limar asperezas en una familia que tiene elementos disfuncionales.

“La familia es un valor, es un ancla con la que todos pueden relacionarse y es una experiencia que todos quieren: todo mundo tiene una familia en donde no se llevan tan bien. Y está bien. No toda la familia se lleva bien. Pero cuando cuando hay algo más grande de lo que necesitamos lograr, es mejor estar juntos”, explica.

Se ablanda y late. Johnson llegó unas horas tarde a la entrevista. Se excusa con la prensa internacional de haber tenido una “mañana complicada”. Se toma el tiempo para saludar a todos de una manera casi reverencial, como lo hace un guía espiritual, y todos le sonríen.

Ya en personaje, ""La Roca"" hace un esfuerzo por diferenciar a cada periodista, que lo recuerden por haber visto su atuendo o intentar descifrar su apellido. Es una buena estrategia de marketing, quizá, pero no sólo eso: sabe que el mundo lo mira.

“El público que suele verme”, reconoce Dwayne.

“Vivo una expansión a grandes películas, muy comerciales, realmente grandes y con temas grandes y elementos visuales, pero para mí la parte humana es siempre muy importante, el corazón”.

“Porque sabes que hay todas estas cosas de acción, cosas explotando y así, pero en última instancia, cuando se trata de vivir, somos sólo tú y yo, te observo y tú me observas, te doy mi palabra y tú me das tu palabra”, remarca en un momento en el que pareciera explicar su fórmula del éxito.

Si la hubiera, más que enunciarla, la muestra. Para esta película, por ejemplo, invitó al set a tres niños: PJ, Cameron y Lucy, que forman parte de la fundación Make a wish, encargada de cumplir el sueño de pequeños que padecen alguna enfermedad que pone en riesgo su vida.

Lucy tiene seis años y le sonríe porque ve a Maui, el personaje de Moana: luego cantan el tema. Los otros dos pequeños también lucen felices, aunque su sorpresa llega cuando les regala un Xbox.

“Son niños que han sido desafiados por enfermedades. Algunos lo están haciendo bien y cuando me encuentro con ellos, todavía están peleando, y otros no están como nos gustaría, y posiblemente estén, ya sabes, en sus últimos momentos”, dice una Roca ya ablandada.

“En esa ocasión, cuando los niños entraron, pudieron jugar los videojuegos, se sentaron y habían juguetes, galletas y bananas, y estaban mirando todo. Y les dije: ‘todo es gratis’. Realmente lo digo honestamente, ese es la mejor parte de mi trabajo. Al final del día es eso. Sí es genial hacer películas como ésta, que todo el mundo ve, pero este tipo de cosas son la mejor parte”.

En el video de aquella visita, disponible en su página web, a ""La Roca"" se le ve firme, como el que da fuerza al que le falta: mientras juega con los niños como lo haría con cualquier otro, mientras abraza con sus grandes brazos a Lucy y, al final, cuando se despide de ellos y habla a la cámara, con tono serio pero apacible, reitera: “Tengo el mejor trabajo del mundo, cosas así, son por mucho la mejor parte de mi fama”.
  
",https://www.eluniversal.com.mx/espectaculos/cine/entrevista-con-rock-sobre-rapidos-y-furiosos,"""La Roca"" pateará traseros en ""Rápidos y furiosos: Hobbs & Shaw"""
"
CDMX.- El titular de la Unidad de Inteligencia Financiera (UIF) de Hacienda, Santiago Nieto Castillo informó que analizan las cuentas bancarias de Rosario Robles y una red de servidores públicos más involucrados en el caso de la Estafa Maestra.
A su arribo a Palacio Nacional, para una reunión de Gabinete con el presidente Andrés Manuel López Obrador, Nieto Castillo dijo que hasta el momento no se le han congelado cuentas bancarias a la extitular de Sedesol.
“Estamos cómo instruyó el Presidente analizando en este momento la información, que presentó en sistema financiero para efecto, de poder colaborar en la investigación que tiene la Fiscalía General de la República y por supuesto proceder conforme a nuestras facultades legales”.
El funcionario expresó que no solo se indaga a las cuentas de la extitular de Sedesol, sino también una red de ex servidores públicos cuyos datos no puede relevar por la secrecía de las investigaciones.
Señaló que además estas analizado las cuentas de 50 empresas relacionadas con el caso de la Estafa Maestra.
Nieto Castillo dijo que se cumplirá con la orden del presidente López Obrador de que se llagará hasta las últimas consecuencias en este caso.
 
",https://www.eluniversal.com.mx/nacion/uif-analiza-movimientos-financieros-de-rosario-robles,UIF analiza movimientos financieros de Rosario Robles
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


El registro para las becas ISSFAM 2019-2020 inicia el próximo 1 de agosto.
La fecha límite para registrarse será el 30 de agosto los interesados en las becas del Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas (ISSFAM).
La recepción de documentos se realizará del 1 de agosto al 13 de septiembre.
Los resultados de las becas del ISSFAM 2019 podrán consultarse el 17 de diciembre en internet.
Las becas del ISSFAM van dirigidas a los hijos de militares en servicio activo y situación de retiro. 
Te compartimos la convocatoria de las becas del ISSFAM.
Becas Issfam 2019 2020 Conv... by Laísa Salander on Scribd

 
 
 
",http://www.unioncdmx.mx/articulo/2019/07/30/educacion/becas-issfam-2019-2020-fechas-clave,"Becas ISSFAM 2019-2020, fechas clave"
"
En Portugal prácticamente ya les dan la bienvenida a Mateus Uribe y Agustín Marchesín, para vestir con la camiseta del Porto. 
Quien ya estaría arreglado -y cuya negociación marchó a buen puerto de principio a fin- es el colombiano Uribe.
Según la portada del diario O Jogo, ""es inminente"" la contratación del mediocampista cafetero y seleccionado nacional.
Por otro lado, el rotativo portugués Record señaló que ya existe un acuerdo casi cerrado de los Dragones por el portero argentino, pese a que el interés había perdido fuerza tras el alto costo impuesto por el América.
""Acuerdo casi hecho con América por 8.5 millones de euros. Marchesín va a ser dragón”.
Como lo publicó hoy EL UNIVERSAL Deportes, ambos jugadores están en un proceso avanzado de negociaciones, en especial el colombiano Uribe. De este modo, las Águilas esperarían por el combo de internacionales el pago de no menos de 23 mdd.

 



Artículo


Después de su expulsión, Carlos Salcedo sube a palco a tomar con amigos

Universal Deportes


El futbolista de Tigres fue visto en uno de los palcos del Estadio Akrón luego de su expulsión frente a las Chivas 








Artículo


Por falta de dinero, México desfiló en pants en la inauguración de los Panamericanos

Universal Deportes


El presidente del Comité Olímpico Mexicano (COM), Carlos Padilla, confirmó que la Conade no tuvo recurso para la compra de las prendas 







",https://www.eluniversal.com.mx/universal-deportes/futbol/portadas-en-portugal-le-dan-bienvenida-mateus-y-marchesin,Portadas en Portugal le dan bienvenida a Mateus y Marchesín
"El programa Médico en tu Calle arrancó el proceso de registro para todos los adultos mayores de 60 años de la capital queretana que quieran acceder a esta prestación, informó el edil Luis Nava Guerrero.
El objetivo es brindar consultas médicas y entregar medicamento sin costo alguno hasta el hogar de las personas. La meta para este año es lograr 15 mil beneficiados, ya que se prevé proporcionar entre 80 y 100 consultas diarias, todo esto con una inversión de 18 millones de pesos.
Para lograr esto la empresa que ganó la licitación para brindar el servicio proporciona 14 médicos; las consulta se pretende agendar en menos de 24 horas y la entrega de medicamentos 24 horas después de contar con el diagnóstico.
La consulta consistente en la revisión y diagnóstico del estado de salud o enfermedad del beneficiario, informándole sobre el tratamiento; cada persona tendrá derecho a dos visitas al año, con una duración máxima de 20 minutos cada una.
También se incluye el abastecimiento de la receta prescrita por el médico general durante la consulta, pero debe estar dentro del cuadro básico y catálogo de medicamentos del sector salud.
Los módulos de registro estarán disponibles hasta el 10 de agosto, ubicados en la Casa del Adulto Mayor Felipe Carrillo Puerto, Casa del Adulto Mayor de Cayetano Rubio, en el CDC del Tepetate, Reforma-Lomas, Cerrito Colorado, Parque Bicentenario y en todas las jornadas de DIF a tu Lado y “Alcalde en tu Calle.



Artículo


Francisco Domínguez inicia gira en la Sierra Gorda


Política


En 5 días recorrerá 5 municipios para entregar obras 







El 11 de agosto se realizará la entrega de mil 500 credenciales en la cancha de béisbol del parque Querétaro 2000; y el 12 de agosto iniciarán actividades los 14 médicos, distribuidos dos por cada delegación.
El edil recordó que este programa fue un compromiso de campaña, con el objetivo de acercar las consultas y el medicamento al domicilio de los adultos mayores y personas con alguna discapacidad.
“Estamos cumpliendo con una convicción, y es para todas y todos ustedes que ya nos dieron muchos años, velaron por nosotros, por sus hijas y sus hijos; y me queda claro que muchas y muchos de ustedes han velado por sus nietas y sus nietos, ahora nos toca a nosotros velar por ustedes, nos toca cuidar por su salud, por su bienestar, y por eso la importancia de este programa,” expresó.
Los médicos estarán plenamente identificados, además de tener a la vista su cédula profesional y presentarse con automóviles también rotulados con el programa.
Hizo un llamado a los interesados para que sean pacientes en recibir su cita, a pesar de que la intención es que no exceda las 24 horas, no se conoce todavía la aceptación y demanda que pueda tener el programa.
",http://www.eluniversalqueretaro.mx/portada/arrancan-con-el-registro-para-medico-en-tu-calle,Arrancan con el registro para Médico en tu Calle
"
El próximo 3 de agosto entrará en vigor el cambio al Plan Técnico Fundamental de Numeración, mediante el cual se establece que la marcación telefónica implicará la unificación a 10 dígitos en todos los números del país.
Con esta modificación, publicada el 11 de mayo de 2018 en el Diario Oficial de la Federación, se simplificarán y homologarán los procedimientos de marcación en todas las entidades federativas, con lo que será más fácil marcar a números fijos y celulares dentro de México.
Por otro lado, el cambio garantiza mayor disponibilidad de numeración para la creciente necesidad de líneas que existe por parte de todos los proveedores de servicios de telecomunicaciones; quienes debieron comenzar con las adecuaciones necesarias a sus sistemas y redes para concretar la transición.
A escasos días de su entrada en vigor, es necesario conocer todas las mutaciones en la marcación que conocemos. Por ello, a continuación contestamos a las preguntas que te ayudarán a entender de qué se trata.


¿Cómo se marcará ahora?
Para empezar, todos los números, sean fijos o móviles, tendrán diez dígitos; de igual forma, se eliminarán los prefijos 01, 044, 045. En la CDMX, Guadalajara y Monterrey, se marcará la Clave de larga distancia + número local.
Ejemplos:

CDMX 55 + XX XX XX XX

GDL 33 + XX XX XX XX

MTY 81 + XX XX XX XX

La misma fórmula se utilizará en el resto de la República, con el fin de que sólo se marquen diez dígitos.
Ejemplo:

MÉRIDA 999 + XXX XX XX

¿Cómo se marcará desde el extranjero?
52 (código de México) + número a 10 dígitos (ya sea fijo o móvil)
¿Afectará en lo que pagas por tu servicio?
No. La modificación es independiente del pago que los usuarios realizan por su servicio de telecomunicaciones; sin embargo, la mayoría de las ofertas del servicio fijo ahora incluyen minutos o llamadas a números móviles, por lo que el costo de llamada celular o número fijo es indistinto.
¿Cómo beneficia esta medida al usuario?
Con la nueva forma de marcación, se asegura que existan números suficientes disponibles para la creciente necesidad de líneas en el país.
¿Los números a 10 dígitos se repiten o son únicos?
Todos los números nacionales son únicos; no existe posibilidad de que se repitan.
¿Qué pasa si no marcas a 10 dígitos?
Habrá un periodo temporal de convivencia en el que se podrá marcar como lo hemos hecho hasta ahora, o bien, a 10 dígitos. Esto con el objetivo de que te familiarices con la nueva numeración.
¿Debes cambiar tu agenda?
Sí. Es importante que tomes en consideración que los números que tienes almacenados en tu celular, pueden contar con los prefijos que se eliminarán (01, 044, 045), por lo que resultará necesario eliminarlos; asimismo, cabe la posibilidad de que los números fijos los tengas almacenados con 7 u 8 dígitos, por lo que tendrás que guardarlos con la clave de la ciudad para que tengan los 10 dígitos.
Si quieres aclarar cualquier otra duda antes del próximo 3 de agosto, puedes consultar la página del Instituto Federal de Telecomunicaciones (IFT): http://www.ift.org.mx/

vcr
",https://www.eluniversal.com.mx/cartera/telecom/enterate-como-sera-la-nueva-marcacion-telefonica,Cómo será la nueva marcación telefónica a partir del 3 de agosto
"
Por temor a que Abigael González Valencia, alias “El Cuini”, considerado por las autoridades como operador financiero y número dos en la estructura del Cártel Jalisco Nueva Generación (CJNG), pudiera fugarse del Reclusorio Norte como aseguraron sujetos encapuchados y armados en un video difundido en redes sociales, este sábado fuerzas federales lo trasladaron al penal del Altiplano en el Estado de México.
Israel Raúl Ramírez Juárez, abogado de González Valencia, señalado que con esta acción realizada por elementos se violó una suspensión de plano concedida el pasado 25 de julio por el Juzgado Quinto de Distrito de Amparo en Materia de Penal de la Ciudad de México en el amparo 631/2019, la cual impedía que el presunto delincuente fuera trasladado a otro penal.
""Agréguesele a los asuntos los informes de cumplimiento a la suspensión de plano y de oficio, remitidos por las autoridades responsables, para los efectos legales a que haya lugar"", puede leerse en la lista de acuerdos del Consejo de la Judicatura Federal.
El traslado -realizado por elementos de Fiscalia General de la República, la de la Marina, y de la Policía Federal- habría ocurrido a las 3:00 horas de este sábado.
El pasado lunes, luego que durante el fin de semana circulara un video en las redes sociales en el que sujetos encapuchados y armados anunciaran que presuntamente en los próximos días se registrarían dos fugas de capos importantes de penales federales -entre ella la de “El Cuini”-, la Secretaría de Seguridad Ciudadana (SSC-CDMX) en coordinación con fuerzas federales, reforzaron los trabajos de vigilancia en el reclusorio local para evitar la supuesta fuga.
“El Cuini” fue detenido el 28 de marzo de 2015 en Puerto Vallarta, Jalisco durante un operativo realizado por fuerzas federales en el que también fueron detenidos tres sudamericanos y otro mexicano.
Abigael González Valencia es requerido por la Corte Federal de Distrito para el Distrito de Columbia en Estados Unidos por estar acusado de asociación delictuosa para distribuir cocaína y metanfetamina en territorio estadounidense y uso de arma de fuego con fines de narcotráfico.
",https://www.eluniversal.com.mx/nacion/seguridad/trasladan-el-cuini-al-altiplano-por-temor-fuga,Trasladan a “El Cuini” al Altiplano por temor a fuga
